+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| did | num_values | iomethod | ioworkers | eic | query_order | master_uncached | master_cached | patched_off_uncached | patched_off_cached | patched_on_uncached | patched_on_cached | patched_off_coeff | patched_on_coeff |
| 4   | 256        | worker   | 12        | 16  | desc        | 4.324           | 1.0086        | 4.3334               | 1.1158             | 5.121               | 1.0586            | 100.217391304348  | 118.432007400555 |
| 22  | 1024       | worker   | 12        | 16  | asc         | 4.9952          | 1.1008        | 5.2458               | 1.1308             | 5.8996              | 1.2008            | 105.016816143498  | 118.105381165919 |
| 10  | 32         | io_uring | 12        | 16  | desc        | 2.4264          | 0.0872        | 2.936                | 0.0884             | 2.8648              | 0.087             | 121.002307945928  | 118.067919551599 |
| 11  | 1          | worker   | 12        | 16  | desc        | 0.9442          | 0.046         | 1.0436               | 0.0428             | 1.1142              | 0.0444            | 110.527430629104  | 118.004660029655 |
| 8   | 4          | io_uring | 12        | 16  | asc         | 1.4212          | 0.0666        | 1.554                | 0.0594             | 1.6756              | 0.0562            | 109.344216155362  | 117.900365887982 |
| 10  | 4          | io_uring | 12        | 16  | desc        | 1.4348          | 0.0544        | 1.7584               | 0.062              | 1.6916              | 0.0592            | 122.55366601617   | 117.897964873153 |
| 23  | 8192       | io_uring | 12        | 16  | desc        | 18.0064         | 8.8856        | 17.981               | 7.4352             | 21.1958             | 8.4572            | 99.8589390438955  | 117.712591078728 |
| 11  | 4096       | worker   | 12        | 16  | asc         | 11.9104         | 1.9646        | 11.6296              | 1.9744             | 14.013              | 2.1452            | 97.6423965609887  | 117.653479312198 |
| 1   | 16         | worker   | 12        | 16  | desc        | 3.2654          | 0.156         | 3.5962               | 0.1488             | 3.8408              | 0.1504            | 110.130458749311  | 117.621118392846 |
| 28  | 32768      | worker   | 12        | 16  | desc        | 14.7576         | 9.4804        | 16.28                | 7.8304             | 17.354              | 8.1134            | 110.316040548599  | 117.593646663414 |
| 26  | 1024       | worker   | 12        | 16  | desc        | 4.309           | 0.3266        | 4.5584               | 0.3354             | 5.067               | 0.3854            | 105.787885820376  | 117.591088419587 |
| 14  | 8192       | worker   | 12        | 16  | asc         | 8.6402          | 2.2248        | 8.3638               | 2.1266             | 10.1578             | 2.3926            | 96.8009999768524  | 117.564408231291 |
| 28  | 16         | io_uring | 12        | 16  | asc         | 1.8998          | 0.0678        | 2.2444               | 0.0766             | 2.2334              | 0.0694            | 118.138751447521  | 117.559743130856 |
| 10  | 2          | io_uring | 12        | 16  | asc         | 1.0772          | 0.0508        | 1.2206               | 0.048              | 1.2638              | 0.0492            | 113.312291125139  | 117.322688451541 |
| 5   | 2048       | worker   | 12        | 16  | asc         | 6.442           | 1.1552        | 6.2568               | 1.2378             | 7.5398              | 1.3374            | 97.125116423471   | 117.041291524371 |
| 17  | 4          | worker   | 12        | 16  | desc        | 1.3002          | 0.0656        | 1.4906               | 0.0634             | 1.5198              | 0.0694            | 114.643900938317  | 116.889709275496 |
| 27  | 8192       | worker   | 12        | 16  | desc        | 8.4106          | 2.305         | 9.1172               | 2.1284             | 9.8248              | 2.2742            | 108.401303117495  | 116.814495993152 |
| 12  | 256        | worker   | 12        | 16  | desc        | 2.7742          | 0.2168        | 3.1874               | 0.2148             | 3.2402              | 0.2074            | 114.894383966549  | 116.797635354336 |
| 11  | 1          | io_uring | 12        | 16  | asc         | 0.988           | 0.0444        | 1.0864               | 0.0462             | 1.1538              | 0.0512            | 109.95951417004   | 116.781376518219 |
| 16  | 1          | io_uring | 12        | 16  | desc        | 0.8292          | 0.045         | 0.9252               | 0.048              | 0.9682              | 0.0476            | 111.577424023155  | 116.763145200193 |
| 14  | 1024       | worker   | 12        | 16  | asc         | 3.2712          | 0.33          | 3.3154               | 0.3406             | 3.8138              | 0.366             | 101.351186109073  | 116.587185130839 |
| 28  | 8192       | worker   | 12        | 16  | desc        | 6.9154          | 2.151         | 6.8458               | 2.4264             | 8.0526              | 2.4628            | 98.9935506261388  | 116.444457298204 |
| 11  | 256        | worker   | 12        | 16  | desc        | 3.0844          | 0.2272        | 3.4706               | 0.2552             | 3.5904              | 0.2164            | 112.521073790689  | 116.405135520685 |
| 28  | 16         | io_uring | 12        | 16  | desc        | 1.957           | 0.0716        | 2.0212               | 0.0688             | 2.2764              | 0.0678            | 103.280531425652  | 116.320899335718 |
| 27  | 2          | io_uring | 12        | 16  | desc        | 1.0616          | 0.0438        | 1.1132               | 0.0448             | 1.2342              | 0.0472            | 104.860587792012  | 116.258477769405 |
| 8   | 2048       | worker   | 12        | 16  | desc        | 6.4636          | 1.329         | 6.4316               | 1.2148             | 7.5118              | 1.1978            | 99.5049198589022  | 116.216968871836 |
| 15  | 32         | io_uring | 12        | 16  | desc        | 2.2746          | 0.0788        | 2.2544               | 0.0674             | 2.6432              | 0.0676            | 99.111931768223   | 116.205047041238 |
| 13  | 2          | io_uring | 12        | 16  | asc         | 0.9434          | 0.0428        | 1.0854               | 0.0416             | 1.0944              | 0.0456            | 115.051939792241  | 116.005935976256 |
| 16  | 32768      | worker   | 12        | 16  | desc        | 16.428          | 7.7652        | 16.67                | 8.4498             | 19.0478             | 8.614             | 101.473094716338  | 115.947163379596 |
| 12  | 4096       | worker   | 12        | 16  | asc         | 13.2504         | 2.1174        | 12.9004              | 1.9616             | 15.3626             | 2.1408            | 97.3585703073115  | 115.940650848276 |
| 28  | 8192       | worker   | 12        | 16  | asc         | 14.0708         | 2.098         | 14.4694              | 2.0566             | 16.3126             | 2.4564            | 102.832816897405  | 115.932285300054 |
| 21  | 32768      | worker   | 12        | 16  | asc         | 44.6278         | 28.5582       | 45.126               | 30.8402            | 51.7242             | 30.0556           | 101.11634452068   | 115.901299190191 |
| 9   | 16         | io_uring | 12        | 16  | desc        | 2.289           | 0.085         | 2.5744               | 0.0836             | 2.652               | 0.078             | 112.468326780253  | 115.858453473132 |
| 15  | 4096       | worker   | 12        | 16  | desc        | 5.7194          | 1.0916        | 5.5824               | 1.1786             | 6.622               | 1.2102            | 97.6046438437598  | 115.781375668776 |
| 9   | 65536      | worker   | 12        | 16  | asc         | 45.9854         | 33.139        | 46.37                | 31.1704            | 53.227              | 29.5958           | 100.836352407503  | 115.74760684913  |
| 15  | 4          | io_uring | 12        | 16  | desc        | 1.1724          | 0.0522        | 1.281                | 0.0486             | 1.357               | 0.0454            | 109.263050153531  | 115.745479358581 |
| 19  | 1          | worker   | 12        | 16  | asc         | 0.9494          | 0.052         | 1.2126               | 0.0488             | 1.0974              | 0.0636            | 127.722772277228  | 115.588792921845 |
